Ship,ship_id,Total_Deaths,TotalBattles,TotalFrags,TotalWins
Cachalot,4078352368,703223,1050165,503792,534885
Salmon,4076255216,696658,1108966,586929,579209
K-1,4179015120,61196,101674,55780,52670
L-20,4181112272,72435,110814,46455,56447
S-1,4183209424,135873,210342,71434,106889
U-2501,4074157872,968739,1533184,773114,767194
U-190,4076255024,1076719,1675374,760897,855909
U-69,4078352176,1133188,1791572,952192,932247
Thrasher,4179015632,306214,436621,220570,214094
Sturdy,4181112784,315006,451333,186134,225465
Undine,4183209936,419360,625744,302201,316966
Caradoc,4281251184,27339,39999,75223,19612
Port Jackson,4282299760,12085,21486,41995,11294
Encounter,4274959728,195222,309735,214635,160498
Auckland,4276008304,195208,276416,191957,142631
Delhi,4279154032,144612,203110,191849,108935
Dunedin,4280202608,39020,52908,71385,26613
Uganda,4277056880,161489,223632,150587,113228
Hobart,4278105456,128151,184861,146159,98764
Cerberus,4284396912,224977,392645,311906,202308
Celebes,4184782608,219933,299197,210130,156479
Kijkduin,4183734032,379938,515147,300563,265480
Menno van Coehoorn,4274960144,242478,375343,234856,189201
Johan de Witt,4180588304,633349,972866,591150,503765
Haarlem,4181636880,608250,900715,512779,467903
Jaarsveld,4276008720,347980,499488,274678,251477
Utrecht,4284397328,374020,608944,476505,311325
Java,4186879760,35113,56503,87450,29842
Gouden Leeuw,4179539728,1645504,2509569,1808960,1299140
Eendracht,4182685456,545990,754112,457538,385271
Gelderland,4187928336,16503,26566,37739,13061
De Ruyter,4185831184,114466,164224,183015,87805
Piemonte,4178491120,69702,128190,126835,66837
Taranto,4186879728,103638,138983,153100,69012
Venezia,4179539696,1848049,3674204,2958364,1897934
Trento,4183734000,810010,1079485,642427,545219
Nino Bixio,4187928304,59415,85054,97743,42591
Raimondo Montecuccoli,4184782576,544615,734544,457900,380448
Brindisi,4180588272,1025940,1706712,1108014,852685
Zara,4182685424,833201,1261123,856751,650219
Amalfi,4181636848,1058093,1587178,1016490,809674
Alberto di Giussano,4185831152,196552,257033,248568,132373
Pensacola,4183734256,1275433,1677757,899948,845979
Chester,4292786160,344702,469487,362370,231143
Dallas,4078876656,984298,1340430,768495,689359
Phoenix,4269717488,1413707,1839580,1392740,924487
Des Moines,4273911792,5093670,7400566,5689269,3802676
Worcester,4074682352,2085371,3255682,2268854,1635803
Buffalo,4180588528,1724019,2401471,1266135,1167695
St. Louis,4290689008,1366635,2088145,2254957,1123011
Seattle,4075730928,1317195,1957135,1029357,963802
Baltimore,4181637104,2030594,2712135,1491775,1369279
Jacksonville,4283348976,118827,197072,204278,106255
Helena,4077828080,1125286,1553403,1026300,795789
Omaha,4289640432,3342510,4333808,2952566,2211202
Cleveland,4076779504,2399574,3328746,1968166,1693580
Annapolis,4178491376,719411,1087599,1031924,559560
New Orleans,4182685680,1327803,1819376,995930,898773
Jinan,4179539152,1091960,1635740,1202374,804179
Harbin,4181636304,483387,662206,396009,329611
Chumphon,4182684880,484608,649398,380003,324902
Rahmat,4183733456,370791,486829,286611,246356
Sejong,4180587728,559137,803197,484477,395910
Chungking,4184782032,193960,251399,160317,126976
Cherbourg,4076779344,526272,724210,472993,382470
Marseille,4074682192,678080,1024121,832814,542410
Duguay-Trouin,4185831248,566978,751988,690221,396252
Condé,4178491216,544740,921922,948280,476483
Algérie,4182685520,1378650,1945870,1197325,978436
Friant,4186879824,383319,512772,545837,266115
Brest,4075730768,541101,740176,471273,384180
Émile Bertin,4184782672,1155285,1515301,1024793,797911
Charles Martel,4181636944,1532103,2214149,1412745,1131573
Saint-Louis,4180588368,1094555,1697343,1019408,843131
Henri IV,4179539792,1308407,2204007,1702618,1113243
La Galissonnière,4183734096,1344502,1749524,1020581,882663
Jurien de la Gravière,4187928400,113892,168878,162827,89026
Svietlana,4185830864,739617,969656,805206,502995
Budyonny,4183733712,1843624,2536580,1705445,1305610
Petropavlovsk,3969824208,2289110,3445690,2536440,1818836
Alexander Nevsky,4074681808,925057,1635607,1099276,829019
Dmitri Donskoi,4180587984,1703069,2709384,1577137,1364878
Riga,4075730384,1054279,1542376,860103,774779
Chapayev,4181636560,1741642,2456985,1442197,1233792
Novik,4187928016,136962,202448,206078,106035
Vladimir Monomakh,3267278288,,,,
Tallinn,4076778960,1040400,1395604,769097,695922
Novosibirsk,4178490832,105830,155722,137399,80863
Shchors,4182685136,2230548,3063093,1999452,1534441
Bogatyr,4186879440,400772,599930,681299,325245
Kotovsky,4069438928,370715,466141,278574,234229
Clausewitz,4178491184,230696,402740,317786,198952
Prinz Adalbert,4284397360,68501,90662,78443,48651
Admiral Hipper,4181636912,2852342,4033027,1986461,1972648
Dresden,4292785968,363348,551606,599173,296376
Knesebeck,4276008752,35736,47844,38568,26009
Admiral Scheer,4277057328,55141,69577,48429,35757
Nürnberg,4183734064,3281002,4350390,2442379,2158863
Deutschland,4278105904,140636,175275,123689,91776
Roon,4180588336,2007320,3386978,1817573,1666692
Yorck,4182685488,2564653,3629628,2069516,1800485
Königsberg,4184782640,2883811,3845216,2754074,1990824
Kolberg,4186879792,732231,976741,806004,484925
Manteuffel,4274960176,75803,99756,83229,54425
Hindenburg,4179539760,4170279,6944060,4669963,3393916
Karlsruhe,4185831216,1076946,1373834,933005,679569
Caledon,4186879952,421472,559848,541408,285720
Drake,4075730896,580987,956564,615043,492346
Hawkins,4079925200,384805,497393,276337,251078
Edinburgh,4181637072,1910581,2829623,1803208,1440258
Surrey,4077828048,502242,741300,496123,385159
Albemarle,4076779472,635883,916320,561772,467177
Edgar,4178491344,295463,457318,410878,230158
Fiji,4182685648,2102817,3140999,2591003,1643583
Danae,4185831376,718054,909064,759936,464554
Minotaur,4179539920,3513531,5422900,4603976,2791107
Devonshire,4078876624,560762,748026,485644,387817
Leander,4183734224,1569154,2252836,1700839,1184485
Weymouth,4187928528,154202,231470,225029,122060
Goliath,4074682320,544376,946398,678271,484774
Neptune,4180588496,1860674,2691642,1769038,1336651
Emerald,4184782800,1132689,1427886,835158,703847
Takahashi,4075730640,303253,468223,269697,237836
Yodo,4074682064,380694,604249,417826,300832
Ibuki,4282300112,1753487,2835364,1620765,1392231
Chikuma,4258182864,347231,497360,454450,259344
Shimanto,4076779216,335895,473916,290926,241175
Aoba,4287542992,2137656,2954392,1729164,1490946
Zaō,4259231440,3038739,5367518,4093896,2684250
Tenryū,4279154384,827431,1093848,966354,548752
Gokase,4078876368,276014,359948,235420,183917
Omono,4077827792,301961,407215,255371,205203
Kuma,4281251536,1602159,2105262,1892136,1094194
Mogami,4285445840,2783298,4012053,2470301,2006067
Myōkō,4286494416,2311549,3340869,2124100,1680843
Agano,4079924944,255575,324461,226820,163105
Furutaka,4289640144,2073802,2731952,1601198,1379177
Asturias,4182685104,296223,396358,253511,202441
